id,name,description,owner_id
1,Kelsien the Plague,,1
2,Ravos/Rebbec,,2
3,Duke Ulder Ravengard,,3
4,Mondrak,,4
5,Wernog/Cecily,,2
6,Jasmine Boreal of the Seven,,1
7,Go-Shintai of Life's Origin,,4
8,Kethis the Hidden Hand,,1
9,Rograkh/Silas ninjas,,2
10,Tekuthal,,3
11,Gitrog,,5
12,Illuna,,4
13,Atraxa,,1
14,Muldrotha,,2
15,Grist,,5
16,Goose Mother,,5
17,Maarika,,3
18,Wilson/Cultist,,2
19,Abdel Adrian/Far Traveler,,2
20,Obeka,,5
21,Laelia,,3
22,Jan Jansen,,2
23,Don Andres,,5
24,Urza,,3
25,"Me,the Immortal",,2
26,Kiora,,3
27,Raffine,,2
28,Kozilek,,5
29,Jhoira of the Ghitu,,6
30,Anikthea,,7
31,Oops all Kayas,,3
32,Silvar/Trynn,,7
33,"Purphoros, God of the Forge",,5
34,Jhoira of the Ghitu,,6
35,Brago,,6
36,Marneus Calgar,,7
37,Slimefoot and Squee,,2
38,Ayara,,3
39,Omnath,,5
40,Wilson/Cultist,,2
41,Myrel,,5
42,Elmar storm,,3
43,Gale/Scion of Halaster,,8
44,Kefnet the Mindful,,2
45,Rograkh/Silas ninjas,,2
46,Emiel,,5
47,Myrkul planeswalkers,,3
48,Syr Ginger,,8
49,Rafiq,,3
50,Yoshimaru/Reyhan,,2
51,Go-Shintai of Life's Origin,,4
52,Dargo/Nadier,,2
53,Pantlaza,,5
54,Niv-Mizzet,,3
55,"Liesa, Shroud of Dusk",,5
56,Malcolm/Ich-Tekik,,2
